dataset,config,seeds,parameters_M,MaxF_mean,MaxF_sample_std,AP_mean,AP_sample_std,PRE_mean,PRE_sample_std,REC_mean,REC_sample_std,FPR_mean,FPR_sample_std,FNR_mean,FNR_sample_std,IoU_mean,IoU_sample_std,BestThreshold_mean,BestThreshold_sample_std
orfd,add_fusion,42,13.780574,0.8979979760385813,0.0,0.8958135474428203,0.0,0.9118295782517749,0.0,0.8845798255801363,0.0,0.03797004056522762,0.0,0.11542017441986345,0.0,0.8148787817408535,0.0,0.009999999776482582,0.0
orfd,add_lidar,42,3.425681,0.9025401920231064,0.0,0.9473388069771392,0.0,0.9003349335864861,0.0,0.9047563804889144,0.0,0.04445957452048632,0.0,0.09524361951108526,0.0,0.8223902839830208,0.0,0.26999998092651367,0.0
orfd,full,40;41;42,14.035153,0.8904892814828855,0.015362862627914347,0.9069472596068272,0.017300500085085647,0.8769510486468732,0.028035472930933072,0.9047413089556388,0.003528680114346689,0.056655839635366134,0.01482467904322324,0.09525869104436095,0.003528680114346691,0.8028253047240038,0.02479138808491872,0.016666666294137638,0.005773502562848416
orfd,optimal,40;41;42,3.68026,0.9039914303883881,0.0013500210205301556,0.9003179509079352,0.004383922761053701,0.9086792394918736,0.006751486077599432,0.8994426024154029,0.009040003280163028,0.040163994829351735,0.003670565369059336,0.1005573975845969,0.009040003280163016,0.824805177893842,0.002246198460635744,0.009999999776482582,0.0
