dataset,config,seeds,parameters_M,MaxF_mean,MaxF_sample_std,AP_mean,AP_sample_std,PRE_mean,PRE_sample_std,REC_mean,REC_sample_std,FPR_mean,FPR_sample_std,FNR_mean,FNR_sample_std,IoU_mean,IoU_sample_std,BestThreshold_mean,BestThreshold_sample_std
kitti,add_lidar,40;41;42,3.425681,0.9582311118233607,0.001209882508977901,0.9840443217342658,0.0018510125109614634,0.9607021611621412,0.0032378956688692583,0.9557849193172547,0.0031408613380957445,0.005839387245023832,0.0005162493752254587,0.04421508068271752,0.0031408613380957324,0.9198134232613246,0.002230962285696577,0.6699999968210856,0.05196150908545293
kitti,baseline,40;41;42,3.305153,0.9556357084720718,0.0017480364818244932,0.9837398986770998,0.0038777518287331494,0.9586736024410835,0.005226189716629983,0.9526408757055234,0.0036210044650012117,0.006136037290990597,0.0008298295838443658,0.04735912429444896,0.0036210044650012065,0.9150442515165188,0.003206938985789803,0.6866666873296102,0.08621678984551115
kitti,full,40;41;42,14.035153,0.961576075587362,0.0007588721236498204,0.9830647519602956,0.003348183675764398,0.9632612339970646,0.00043785515307643674,0.959897220172107,0.0011886420835982303,0.005466241926320199,6.332352236446486e-05,0.04010277982786529,0.0011886420835982238,0.9259964654694013,0.0014069130698675374,0.6700000166893005,0.10440306828619612
kitti,optimal,40;41;42,3.68026,0.9597789196695296,0.0009521139572565431,0.9797961024253459,0.002689156536408021,0.9649715753057242,0.0016520562660601319,0.9546435776684851,0.001212508049394347,0.005174388340698014,0.00025418152266492666,0.04535642233148723,0.0012125080493943464,0.9226693742091369,0.0017604419998548874,0.6533333460489908,0.02886752034203283
