method,parameters_M,mean_ms,sample_std_ms,fps,peak_allocated_cuda_MiB,checkpoint_sha256
litevilnet,14.035153,4.528341789245605,0.014484450582601859,220.8313874131383,15006.3642578125,08bea5cb2f633aaee51f47e90a0bbfccdf6e3101e4867d4d722e450981be66a1
usnet,30.738444,4.170039767689175,0.0003151771517171114,239.8058665407283,10766.8828125,09e0b77829b05d52c1ab945d9ac3fe48ea870718cddf683a7a767855950734c7
sne_roadseg,201.324806,51.75625839233398,0.0985034778837621,19.321334869680566,34740.45556640625,7cd1edf45f7e8b7350a602a4308a8dbac115ba39dd68718b708db26d1a609d70
plard,76.929142,37.07437963697645,0.019390890945501275,26.972804664346732,33897.1298828125,e69cdc463fc403a9d858ef745de04c5eb2ba2d17021a5c014b01badd22a9bb75
roadformer,206.860175,57.26677789052328,0.03354702360574289,17.462131393383036,17834.01025390625,6f3648c52159ee726f4f79272d2766eeb4fe749867ed183ad6a5509cfa16d4b7
offnet,25.209608,15.37486275990804,0.014927501980777504,65.04123097655417,823.71240234375,04ef8174615d98d8ddb3fdc3a1838046965d4bd60eb5e96b35a291183666f495
