baseline,seeds,parameters_M,official_commit,MaxF_mean,MaxF_sample_std,AP_mean,AP_sample_std,PRE_mean,PRE_sample_std,REC_mean,REC_sample_std,FPR_mean,FPR_sample_std,FNR_mean,FNR_sample_std,IoU_mean,IoU_sample_std,BestThreshold_mean,BestThreshold_sample_std
offnet,"40,41,42",25.209608,50e63d24836198e8fb5af707e521f414104b4876,0.953557787923609,0.006625086477730668,0.9824778556768125,0.0064380408354907884,0.9488379308952363,0.009165235355074533,0.9583454504238723,0.005691494695272477,0.011030562358163165,0.002035424823341684,0.041654549576107334,0.005691494695272434,0.911288999735523,0.012088952735544518,0.5133333206176758,0.015275237748903657
plard,"40,41,42",76.929142,44485803092e729661c696ab6c03f6f2fabc8701,0.9524558169996903,0.0019339314439230566,0.9781474099173889,0.0012978963217882685,0.9545921979568268,0.002937764112268943,0.95033046827667,0.0009495502848194355,0.009642831851397164,0.0006436027392639059,0.04966953172330951,0.0009495502848194435,0.9092317779875249,0.003527196334082515,0.5200000107288361,0.026457538567782816
roadformer,"40,41,42",206.860175,f675a3467cb168ebc727648390c304279bbcb079,0.9727877914610022,0.0005032499147228905,0.9894717986498485,0.0027753139324905194,0.979600787026777,0.0009078519432731139,0.966070892322416,0.0015605494290931044,0.00426744868533082,0.00019954954386102534,0.03392910767756351,0.0015605494290930702,0.9470177639278471,0.000953809095079399,0.4833333194255829,0.015275267014204313
sne_roadseg,"40,41,42",201.324806,5e7900bfd59887634ced687ffe85a73018a38659,0.9722591965813047,0.0020812827932616034,0.9943968714964645,0.0006059457966873321,0.97389502391427,0.0030218542422140973,0.9706304918730194,0.0013486355963488674,0.005550223614856141,0.0006535653317114841,0.02936950812696018,0.0013486355963488726,0.9460213637591112,0.003936918108839652,0.5,0.0
usnet,"40,41,42",30.738444,d761158ad42df7dcb62fa257dd02ce11c85f94a5,0.9788132845836636,0.0007000949618685287,0.9832191682386812,0.0013556180284130129,0.9803381120580736,0.0003444514289735488,0.9772934761720667,0.0010614494540390723,0.004180680926003193,7.032006955362857e-05,0.022706523827912772,0.0010614494540390725,0.9585064066843788,0.0013426153570639734,0.3399999936421712,0.04358899230699895
